iter	Passed	Remaining
437	1298	1665
438	1300	1662
439	1303	1658
440	1305	1654
441	1307	1651
442	1310	1647
443	1312	1643
444	1315	1640
445	1317	1636
446	1319	1632
447	1322	1628
448	1324	1625
449	1326	1621
450	1329	1617
451	1331	1614
452	1333	1610
453	1336	1606
454	1338	1603
455	1341	1600
456	1343	1596
457	1345	1592
458	1348	1589
459	1350	1585
460	1352	1581
461	1354	1577
462	1356	1573
463	1358	1569
464	1360	1565
465	1363	1562
466	1365	1558
467	1367	1554
468	1369	1550
469	1371	1546
470	1373	1542
471	1375	1538
472	1377	1534
473	1379	1530
474	1381	1526
475	1383	1522
476	1385	1518
477	1387	1514
478	1389	1510
479	1391	1507
480	1393	1503
481	1395	1499
482	1397	1495
483	1399	1491
484	1401	1488
485	1403	1484
486	1405	1480
487	1407	1476
488	1409	1472
489	1411	1468
490	1413	1464
491	1415	1461
492	1417	1458
493	1421	1455
494	1423	1452
495	1425	1448
496	1427	1444
497	1429	1440
498	1431	1436
499	1433	1433
500	1435	1429
501	1437	1425
502	1439	1421
503	1440	1418
504	1442	1414
505	1444	1410
506	1447	1407
507	1449	1403
508	1450	1399
509	1452	1395
510	1454	1392
511	1456	1388
512	1458	1385
513	1461	1381
514	1463	1378
515	1465	1374
516	1467	1370
517	1469	1367
518	1471	1363
519	1473	1359
520	1475	1356
521	1476	1352
522	1478	1348
523	1480	1345
524	1482	1341
525	1484	1338
526	1487	1334
527	1489	1331
528	1491	1327
529	1493	1324
530	1495	1320
531	1496	1316
532	1499	1313
533	1501	1310
534	1504	1307
535	1506	1304
536	1508	1300
537	1511	1297
538	1513	1294
539	1515	1291
540	1518	1287
541	1520	1284
542	1522	1280
543	1523	1277
544	1526	1274
545	1528	1270
546	1530	1267
547	1532	1263
548	1534	1260
549	1536	1256
550	1538	1253
551	1540	1250
552	1543	1247
553	1545	1243
554	1547	1240
555	1548	1236
556	1550	1233
557	1553	1230
558	1555	1226
559	1557	1223
560	1558	1219
561	1560	1216
562	1562	1213
563	1564	1209
564	1566	1206
565	1568	1202
566	1571	1199
567	1573	1196
568	1575	1193
569	1577	1189
570	1579	1186
571	1581	1183
572	1583	1179
573	1585	1176
574	1587	1173
575	1589	1169
576	1591	1166
577	1593	1163
578	1595	1159
579	1596	1156
580	1598	1153
581	1600	1149
582	1602	1146
583	1604	1143
584	1606	1139
585	1608	1136
586	1610	1133
587	1612	1129
588	1614	1126
589	1616	1123
590	1618	1120
591	1620	1116
592	1622	1113
593	1624	1110
594	1626	1107
595	1628	1103
596	1630	1100
597	1632	1097
598	1634	1094
599	1636	1090
600	1638	1087
601	1640	1084
602	1642	1081
603	1644	1078
604	1646	1074
605	1648	1071
606	1651	1069
607	1659	1069
608	1661	1066
609	1663	1063
610	1665	1060
611	1667	1057
612	1669	1054
613	1671	1050
614	1673	1047
615	1675	1044
616	1677	1041
617	1679	1038
618	1681	1034
619	1683	1031
620	1685	1028
621	1687	1025
622	1689	1022
623	1691	1019
624	1693	1015
625	1695	1012
626	1696	1009
627	1698	1006
628	1700	1003
629	1702	999
630	1704	996
631	1706	993
632	1708	990
633	1710	987
634	1712	984
635	1714	981
636	1716	978
637	1718	975
638	1720	971
639	1722	968
640	1724	965
641	1726	962
642	1728	959
643	1730	956
644	1732	953
645	1734	950
646	1736	947
647	1737	944
648	1739	940
649	1741	937
650	1743	934
651	1745	931
652	1747	928
653	1749	925
654	1751	922
655	1753	919
656	1755	916
657	1757	913
658	1759	910
659	1761	907
660	1763	904
661	1765	901
662	1767	898
663	1769	895
664	1771	892
665	1773	889
666	1776	887
667	1778	884
668	1780	881
669	1783	878
670	1784	875
671	1786	872
672	1789	869
673	1790	866
674	1792	863
675	1794	860
676	1796	857
677	1798	854
678	1801	851
679	1802	848
680	1804	845
681	1806	842
682	1808	839
683	1810	836
684	1812	833
685	1815	831
686	1817	828
687	1819	825
688	1821	822
689	1823	819
690	1825	816
691	1827	813
692	1830	810
693	1832	807
694	1834	804
695	1836	802
696	1838	799
697	1840	796
698	1842	793
699	1845	790
700	1847	787
701	1849	784
702	1851	782
703	1853	779
704	1855	776
705	1856	773
706	1858	770
707	1860	767
708	1862	764
709	1864	761
710	1866	758
711	1868	755
712	1870	752
713	1872	750
714	1874	747
715	1876	744
716	1878	741
717	1880	738
718	1882	735
719	1884	732
720	1886	730
721	1888	727
722	1890	724
723	1892	721
724	1895	718
725	1897	715
726	1899	713
727	1901	710
728	1903	707
729	1904	704
730	1906	701
731	1908	698
732	1910	696
733	1912	693
734	1914	690
735	1916	687
736	1918	684
737	1920	681
738	1922	679
739	1924	676
740	1926	673
741	1928	670
742	1930	667
743	1932	664
744	1934	662
745	1936	659
746	1938	656
747	1940	653
748	1943	651
749	1945	648
750	1947	645
751	1950	643
752	1952	640
753	1954	637
754	1957	635
755	1959	632
756	1961	629
757	1964	627
758	1966	624
759	1968	621
760	1971	619
761	1973	616
762	1975	613
763	1978	611
764	1980	608
765	1982	605
766	1984	602
767	1986	600
768	1988	597
769	1990	594
770	1992	591
771	1994	589
772	1996	586
773	2000	584
774	2003	581
775	2005	578
776	2007	576
777	2009	573
778	2011	570
779	2013	567
780	2015	565
781	2017	562
782	2019	559
783	2021	556
784	2023	554
785	2025	551
786	2027	548
787	2029	545
788	2031	543
789	2033	540
790	2035	537
791	2037	535
792	2039	532
793	2041	529
794	2043	526
795	2045	524
796	2047	521
797	2049	518
798	2051	516
799	2053	513
800	2055	510
801	2058	508
802	2060	505
803	2062	502
804	2065	500
805	2067	497
806	2069	495
807	2072	492
808	2074	489
809	2076	487
810	2079	484
811	2081	481
812	2083	479
813	2085	476
814	2087	473
815	2089	471
816	2091	468
817	2092	465
818	2094	462
819	2096	460
820	2098	457
821	2100	454
822	2102	452
823	2104	449
824	2106	446
825	2108	444
826	2110	441
827	2112	438
828	2114	436
829	2116	433
830	2118	430
831	2121	428
832	2123	425
833	2125	422
834	2127	420
835	2129	417
836	2130	414
837	2132	412
838	2134	409
839	2136	407
840	2138	404
841	2140	401
842	2142	399
843	2144	396
844	2146	393
845	2149	391
846	2152	388
847	2154	386
848	2156	383
849	2158	380
850	2160	378
851	2162	375
852	2165	373
853	2167	370
854	2169	367
855	2172	365
856	2174	362
857	2176	360
858	2178	357
859	2180	354
860	2182	352
861	2184	349
862	2186	347
863	2188	344
864	2190	341
865	2191	339
866	2193	336
867	2195	333
868	2197	331
869	2199	328
870	2201	326
871	2203	323
872	2205	320
873	2207	318
874	2209	315
875	2211	313
876	2213	310
877	2215	307
878	2218	305
879	2219	302
880	2221	300
881	2223	297
882	2225	294
883	2227	292
884	2229	289
885	2231	287
886	2233	284
887	2235	281
888	2237	279
889	2239	276
890	2241	274
891	2243	271
892	2246	269
893	2247	266
894	2249	263
895	2251	261
896	2253	258
897	2255	256
898	2257	253
899	2259	251
900	2261	248
901	2263	245
902	2265	243
903	2267	240
904	2269	238
905	2271	235
906	2275	233
907	2276	230
908	2278	228
909	2280	225
910	2282	223
911	2284	220
912	2287	217
913	2289	215
914	2291	212
915	2293	210
916	2295	207
917	2297	205
918	2299	202
919	2302	200
920	2304	197
921	2306	195
922	2308	192
923	2310	190
924	2312	187
925	2314	184
926	2316	182
927	2318	179
928	2320	177
929	2322	174
930	2324	172
931	2326	169
932	2328	167
933	2330	164
934	2332	162
935	2333	159
936	2335	157
937	2337	154
938	2339	151
939	2341	149
940	2344	146
941	2346	144
942	2348	141
943	2350	139
944	2352	136
945	2354	134
946	2356	131
947	2358	129
948	2360	126
949	2362	124
950	2364	121
951	2365	119
952	2367	116
953	2369	114
954	2371	111
955	2373	109
956	2375	106
957	2377	104
958	2379	101
959	2381	99
960	2383	96
961	2388	94
962	2390	91
963	2393	89
964	2395	86
965	2397	84
966	2399	81
967	2401	79
968	2403	76
969	2405	74
970	2407	71
971	2409	69
972	2411	66
973	2413	64
974	2415	61
975	2417	59
976	2419	56
977	2421	54
978	2423	51
979	2425	49
980	2427	47
981	2429	44
982	2431	42
983	2433	39
984	2435	37
985	2437	34
986	2440	32
987	2442	29
988	2444	27
989	2447	24
990	2449	22
991	2451	19
992	2454	17
993	2456	14
994	2458	12
995	2461	9
996	2463	7
997	2465	4
998	2470	2
999	2472	0
