iter	Passed	Remaining
589	2288	1590
590	2294	1587
591	2296	1582
592	2299	1578
593	2301	1573
594	2304	1568
595	2309	1565
596	2312	1560
597	2314	1556
598	2317	1551
599	2319	1546
600	2325	1543
601	2328	1539
602	2330	1534
603	2335	1531
604	2341	1528
605	2343	1523
606	2346	1519
607	2348	1514
608	2350	1509
609	2356	1506
610	2359	1501
611	2361	1497
612	2363	1492
613	2366	1487
614	2372	1485
615	2374	1480
616	2377	1475
617	2379	1470
618	2382	1466
619	2387	1463
620	2390	1458
621	2392	1454
622	2395	1449
623	2397	1444
624	2404	1442
625	2406	1437
626	2409	1433
627	2411	1428
628	2418	1426
629	2420	1421
630	2423	1417
631	2425	1412
632	2427	1407
633	2430	1403
634	2433	1398
635	2435	1394
636	2440	1390
637	2446	1388
638	2448	1383
639	2451	1378
640	2453	1374
641	2455	1369
642	2461	1366
643	2464	1362
644	2466	1357
645	2469	1353
646	2471	1348
647	2474	1344
648	2477	1339
649	2479	1335
650	2481	1330
651	2484	1326
652	2490	1323
653	2492	1318
654	2495	1314
655	2497	1309
656	2499	1305
657	2502	1300
658	2504	1296
659	2507	1291
660	2509	1287
661	2512	1282
662	2514	1278
663	2517	1273
664	2522	1270
665	2528	1267
666	2530	1263
667	2533	1259
668	2535	1254
669	2538	1250
670	2546	1248
671	2549	1244
672	2552	1240
673	2554	1235
674	2560	1232
675	2562	1228
676	2565	1223
677	2567	1219
678	2569	1214
679	2575	1212
680	2578	1207
681	2580	1203
682	2583	1199
683	2589	1196
684	2592	1191
685	2594	1187
686	2596	1183
687	2599	1178
688	2604	1175
689	2607	1171
690	2609	1167
691	2612	1162
692	2614	1158
693	2619	1155
694	2622	1150
695	2625	1146
696	2627	1142
697	2633	1139
698	2635	1135
699	2638	1130
700	2640	1126
701	2643	1122
702	2648	1118
703	2651	1114
704	2653	1110
705	2655	1105
706	2658	1101
707	2664	1098
708	2666	1094
709	2669	1090
710	2671	1086
711	2674	1081
712	2680	1078
713	2682	1074
714	2685	1070
715	2687	1066
716	2690	1061
717	2695	1058
718	2698	1054
719	2701	1050
720	2703	1046
721	2706	1042
722	2711	1038
723	2715	1035
724	2717	1030
725	2721	1027
726	2727	1024
727	2730	1020
728	2732	1015
729	2734	1011
730	2737	1007
731	2742	1004
732	2745	999
733	2747	995
734	2750	991
735	2752	987
736	2755	983
737	2757	979
738	2760	974
739	2762	970
740	2768	967
741	2770	963
742	2773	959
743	2775	955
744	2778	950
745	2783	947
746	2786	943
747	2788	939
748	2791	935
749	2793	931
750	2799	928
751	2801	923
752	2804	919
753	2806	915
754	2809	911
755	2814	908
756	2831	908
757	2833	904
758	2836	900
759	2838	896
760	2840	892
761	2846	889
762	2848	884
763	2851	880
764	2853	876
765	2856	872
766	2861	869
767	2864	865
768	2866	861
769	2869	857
770	2872	853
771	2878	849
772	2880	845
773	2882	841
774	2885	837
775	2887	833
776	2893	830
777	2895	826
778	2897	822
779	2900	818
780	2903	814
781	2908	810
782	2911	806
783	2914	802
784	2918	799
785	2924	796
786	2927	792
787	2929	788
788	2932	784
789	2935	780
790	2940	777
791	2943	772
792	2945	768
793	2947	764
794	2950	760
795	2955	757
796	2958	753
797	2961	749
798	2963	745
799	2965	741
800	2968	737
801	2970	733
802	2974	729
803	2977	725
804	2982	722
805	2985	718
806	2988	714
807	2990	710
808	2992	706
809	2998	703
810	3001	699
811	3003	695
812	3005	691
813	3008	687
814	3013	684
815	3016	680
816	3019	676
817	3024	672
818	3030	669
819	3033	665
820	3035	661
821	3038	657
822	3043	654
823	3046	650
824	3048	646
825	3050	642
826	3053	638
827	3055	634
828	3058	630
829	3061	626
830	3063	623
831	3066	619
832	3071	615
833	3074	611
834	3076	607
835	3079	604
836	3081	600
837	3087	596
838	3089	592
839	3092	588
840	3094	585
841	3097	581
842	3102	577
843	3105	573
844	3107	570
845	3112	566
846	3118	563
847	3121	559
848	3123	555
849	3126	551
850	3128	547
851	3134	544
852	3136	540
853	3139	536
854	3141	532
855	3144	528
856	3149	525
857	3151	521
858	3154	517
859	3156	513
860	3159	509
861	3164	506
862	3167	502
863	3170	498
864	3172	495
865	3174	491
866	3180	487
867	3183	484
868	3185	480
869	3187	476
870	3190	472
871	3195	469
872	3198	465
873	3201	461
874	3203	457
875	3206	453
876	3211	450
877	3214	446
878	3216	442
879	3228	440
880	3235	437
881	3237	433
882	3243	429
883	3246	425
884	3248	422
885	3250	418
886	3253	414
887	3258	411
888	3261	407
889	3263	403
890	3266	399
891	3272	396
892	3274	392
893	3276	388
894	3279	384
895	3281	380
896	3287	377
897	3289	373
898	3292	369
899	3294	366
900	3297	362
901	3303	358
902	3306	355
903	3308	351
904	3313	347
905	3319	344
906	3321	340
907	3324	336
908	3326	333
909	3329	329
910	3335	325
911	3337	322
912	3340	318
913	3343	314
914	3349	311
915	3351	307
916	3354	303
917	3357	299
918	3359	296
919	3365	292
920	3367	288
921	3369	285
922	3372	281
923	3374	277
924	3380	274
925	3382	270
926	3385	266
927	3387	262
928	3389	259
